#$Format     "X_Y1-Yn"
#$CAbscissa  "Time"
#$CUnitA     "ms"
#$COrdinate  "Acceleration"
#$CUnitO     "mm/(ms*ms)"
#
#$Legtxt     "[X-Y-Resultant-Acceleration]:B-pillar-sill Left -- Shopping-cart -- 10kmph -Side"
#$Itemid     "10050033"
#$Itemtype   "node"
#
        0.000000E+00        0.000000E+00
        9.999000E-02        0.000000E+00
        1.999800E-01        1.060836E-19
        2.999700E-01        1.334278E-11
        3.999600E-01        5.405853E-09
        4.999500E-01        3.271456E-08
        5.999399E-01        1.045889E-07
        6.999300E-01        1.985403E-07
        7.999200E-01        2.515667E-07
        8.999099E-01        1.573951E-07
        9.998999E-01        7.000796E-08
        1.099890E+00        1.693235E-07
        1.199880E+00        2.553684E-07
        1.299870E+00        7.571867E-07
        1.399860E+00        6.536229E-07
        1.499850E+00        6.799403E-07
        1.599840E+00        9.183974E-07
        1.699830E+00        7.093142E-07
        1.799820E+00        6.588563E-07
        1.899810E+00        2.533417E-07
        1.999800E+00        1.661749E-06
        2.099790E+00        1.722677E-06
        2.199780E+00        1.191002E-06
        2.299770E+00        2.934107E-06
        2.399760E+00        6.233747E-07
        2.499750E+00        3.090095E-06
        2.599740E+00        8.907216E-07
        2.699730E+00        7.530115E-07
        2.799720E+00        5.080269E-06
        2.899710E+00        4.562910E-06
        2.999700E+00        3.628574E-06
        3.099690E+00        1.211299E-06
        3.199680E+00        6.208666E-06
        3.299670E+00        1.717852E-06
        3.399660E+00        9.601514E-06
        3.499650E+00        2.654114E-05
        3.599640E+00        2.997148E-05
        3.699630E+00        2.254804E-05
        3.799620E+00        1.771544E-05
        3.899610E+00        1.227571E-05
        3.999600E+00        1.035374E-05
        4.099590E+00        2.897500E-05
        4.199580E+00        3.680094E-05
        4.299570E+00        4.169043E-05
        4.399559E+00        3.822595E-05
        4.499550E+00        2.212771E-05
        4.599540E+00        1.230067E-05
        4.699530E+00        5.359302E-05
        4.799520E+00        9.123892E-05
        4.899509E+00        1.148260E-04
        4.999500E+00        1.315417E-04
        5.099490E+00        1.258097E-04
        5.199480E+00        1.169826E-04
        5.299469E+00        1.146008E-04
        5.399460E+00        9.013293E-05
        5.499450E+00        8.099860E-05
        5.599440E+00        6.316039E-05
        5.699430E+00        6.725032E-05
        5.799419E+00        1.129965E-04
        5.899410E+00        1.405940E-04
        5.999400E+00        1.665560E-04
        6.099390E+00        1.827806E-04
        6.199379E+00        2.399406E-04
        6.299369E+00        2.395295E-04
        6.399360E+00        2.278888E-04
        6.499350E+00        2.427750E-04
        6.599339E+00        3.400575E-04
        6.699329E+00        3.275633E-04
        6.799320E+00        2.688869E-04
        6.899310E+00        3.157039E-04
        6.999300E+00        3.280945E-04
        7.099289E+00        3.412107E-04
        7.199279E+00        2.950095E-04
        7.299270E+00        3.241247E-04
        7.399260E+00        4.557901E-04
        7.499249E+00        3.925259E-04
        7.599239E+00        3.470654E-04
        7.699229E+00        3.375107E-04
        7.799220E+00        3.974014E-04
        7.899209E+00        4.848378E-04
        7.999199E+00        4.580825E-04
        8.099190E+00        4.982753E-04
        8.199180E+00        5.132883E-04
        8.299170E+00        5.743184E-04
        8.399159E+00        5.908280E-04
        8.499149E+00        6.121058E-04
        8.599139E+00        5.583484E-04
        8.699129E+00        5.901218E-04
        8.799119E+00        5.357245E-04
        8.899110E+00        6.146225E-04
        8.999100E+00        6.136208E-04
        9.099090E+00        6.485268E-04
        9.199080E+00        6.743104E-04
        9.299069E+00        6.717464E-04
        9.399059E+00        7.300404E-04
        9.499049E+00        7.499814E-04
        9.599039E+00        6.737752E-04
        9.699029E+00        5.725955E-04
        9.799019E+00        4.600499E-04
        9.899010E+00        4.152472E-04
        9.999999E+00        3.472543E-04
        1.009999E+01        3.143775E-04
        1.019998E+01        2.336587E-04
        1.029997E+01        2.452793E-04
        1.039996E+01        1.659541E-04
        1.049995E+01        2.714328E-04
        1.059994E+01        3.893816E-04
        1.069993E+01        4.953078E-04
        1.079992E+01        6.045609E-04
        1.089991E+01        6.773825E-04
        1.099990E+01        7.205550E-04
        1.109989E+01        8.033458E-04
        1.119988E+01        7.952373E-04
        1.129987E+01        9.015863E-04
        1.139986E+01        9.262722E-04
        1.149985E+01        9.674948E-04
        1.159984E+01        9.145997E-04
        1.169983E+01        9.511386E-04
        1.179982E+01        1.018811E-03
        1.189981E+01        8.889125E-04
        1.199980E+01        8.845661E-04
        1.209979E+01        8.038201E-04
        1.219978E+01        5.980505E-04
        1.229977E+01        4.560250E-04
        1.239976E+01        4.006752E-04
        1.249975E+01        2.222152E-04
        1.259974E+01        2.523838E-04
        1.269973E+01        9.411570E-05
        1.279972E+01        2.276145E-04
        1.289971E+01        7.861764E-05
        1.299970E+01        3.338580E-04
        1.309969E+01        4.646758E-04
        1.319968E+01        6.099942E-04
        1.329967E+01        8.196654E-04
        1.339966E+01        9.489391E-04
        1.349965E+01        9.304160E-04
        1.359964E+01        9.015995E-04
        1.369963E+01        1.025263E-03
        1.379962E+01        8.669875E-04
        1.389961E+01        7.166969E-04
        1.399960E+01        5.889163E-04
        1.409959E+01        3.459841E-04
        1.419958E+01        2.507679E-04
        1.429957E+01        6.056271E-05
        1.439956E+01        1.075838E-04
        1.449955E+01        1.851765E-04
        1.459954E+01        2.658804E-04
        1.469953E+01        4.855516E-04
        1.479952E+01        6.182762E-04
        1.489951E+01        7.498676E-04
        1.499950E+01        9.645856E-04
        1.509949E+01        9.997085E-04
        1.519948E+01        8.879644E-04
        1.529947E+01        9.346444E-04
        1.539946E+01        8.448663E-04
        1.549945E+01        7.140898E-04
        1.559944E+01        8.259160E-04
        1.569943E+01        7.661895E-04
        1.579942E+01        8.775902E-04
        1.589941E+01        7.207922E-04
        1.599940E+01        7.223630E-04
        1.609939E+01        6.494920E-04
        1.619938E+01        5.580506E-04
        1.629937E+01        4.428827E-04
        1.639936E+01        7.399321E-04
        1.649935E+01        7.766096E-04
        1.659934E+01        9.959581E-04
        1.669933E+01        1.032357E-03
        1.679932E+01        9.925355E-04
        1.689931E+01        1.090836E-03
        1.699930E+01        1.167660E-03
        1.709929E+01        1.085878E-03
        1.719928E+01        1.339234E-03
        1.729927E+01        1.329006E-03
        1.739926E+01        1.556735E-03
